,rel_error[%],rel_error_mean[%],rel_error_std[%]
159,6.801057,4.6915803,4.9059834
160,2.8761842,4.6915803,4.9059834
161,2.1208582,4.6915803,4.9059834
162,3.6741297,4.6915803,4.9059834
163,4.329165,4.6915803,4.9059834
164,0.75564694,4.6915803,4.9059834
165,4.335263,4.6915803,4.9059834
166,0.04492279,4.6915803,4.9059834
167,15.657973,4.6915803,4.9059834
168,0.36906108,4.6915803,4.9059834
169,3.6596384,4.6915803,4.9059834
170,0.11264059,4.6915803,4.9059834
171,4.153496,4.6915803,4.9059834
172,16.24303,4.6915803,4.9059834
173,9.206492,4.6915803,4.9059834
174,3.4692633,4.6915803,4.9059834
175,2.518804,4.6915803,4.9059834
176,5.152971,4.6915803,4.9059834
177,6.9058805,4.6915803,4.9059834
178,12.561788,4.6915803,4.9059834
179,1.5460482,4.6915803,4.9059834
