,rel_error[%],rel_error_mean[%],rel_error_std[%]
168,91.47746,84.5258,9.802493
169,80.55718,84.5258,9.802493
170,90.448586,84.5258,9.802493
171,89.79549,84.5258,9.802493
172,65.19071,84.5258,9.802493
173,80.27602,84.5258,9.802493
174,90.14557,84.5258,9.802493
175,91.89296,84.5258,9.802493
176,77.24579,84.5258,9.802493
177,88.66741,84.5258,9.802493
178,85.85975,84.5258,9.802493
179,86.439354,84.5258,9.802493
