,0,1,2,3,4,5,6,7
26,5209.0,4900.0,5557.0,5247.0,5241.0,5047.0,4832.0,5270.0
27,5478.0,4968.0,5718.0,5365.0,5450.0,5358.0,4973.0,5531.0
28,5554.0,5090.0,5837.0,5412.0,5634.0,5596.0,5187.0,5578.0
29,5745.0,5201.0,5918.0,5619.0,5620.0,5553.0,5255.0,5645.0
30,5754.0,5201.0,6005.0,5663.0,5849.0,5753.0,5362.0,5848.0
31,6009.0,5258.0,6134.0,5695.0,5809.0,5809.0,5388.0,5791.0
32,5649.0,5235.0,6091.0,5761.0,5736.0,5740.0,5278.0,5902.0
33,5608.0,5212.0,5724.0,5571.0,5543.0,5703.0,5157.0,5627.0
34,5726.0,5183.0,5805.0,5412.0,5575.0,5507.0,5117.0,5852.0
35,5521.0,5136.0,5947.0,5377.0,5557.0,5413.0,5010.0,5563.0
36,5516.0,4808.0,5532.0,5178.0,5278.0,5220.0,4815.0,5444.0
37,5232.0,4837.0,5448.0,5068.0,5200.0,5249.0,4699.0,5303.0
38,4952.0,4586.0,5119.0,4884.0,4889.0,4987.0,4435.0,5095.0
39,4951.0,4335.0,5067.0,4730.0,4815.0,4854.0,4358.0,4838.0
40,4682.0,4175.0,4932.0,4679.0,4626.0,4667.0,4184.0,4705.0
41,4577.0,4029.0,4769.0,4310.0,4466.0,4575.0,3998.0,4496.0
42,4346.0,3826.0,4426.0,4128.0,4189.0,4299.0,3707.0,4294.0
43,4013.0,3627.0,4222.0,3890.0,3996.0,3960.0,3444.0,3946.0
44,3837.0,3393.0,4113.0,3694.0,3780.0,3900.0,3398.0,3900.0
45,3550.0,3210.0,3856.0,3478.0,3498.0,3653.0,3106.0,3546.0
46,3437.0,2982.0,3540.0,3266.0,3364.0,3471.0,2874.0,3326.0
47,3319.0,2766.0,3297.0,2911.0,3122.0,3243.0,2618.0,3123.0
48,2955.0,2576.0,3024.0,2738.0,2858.0,2998.0,2433.0,2813.0
49,2880.0,2400.0,2903.0,2598.0,2712.0,2797.0,2337.0,2737.0
50,2588.0,2214.0,2687.0,2387.0,2463.0,2624.0,2127.0,2478.0
51,2403.0,2044.0,2427.0,2161.0,2312.0,2506.0,1991.0,2207.0
52,2289.0,1874.0,2278.0,2045.0,2022.0,2431.0,1782.0,2089.0
53,2093.0,1687.0,2096.0,1917.0,1930.0,2087.0,1637.0,1864.0
54,1925.0,1528.0,2005.0,1639.0,1736.0,1955.0,1522.0,1662.0
55,1774.0,1344.0,1801.0,1604.0,1543.0,1756.0,1300.0,1513.0
56,1595.0,1192.0,1594.0,1389.0,1310.0,1638.0,1168.0,1364.0
57,1462.0,1083.0,1464.0,1254.0,1249.0,1532.0,1120.0,1263.0
58,1266.0,981.0,1301.0,1139.0,1065.0,1316.0,1010.0,1088.0
59,1117.0,895.0,1204.0,976.0,934.0,1241.0,908.0,1018.0
60,1117.0,768.0,1025.0,899.0,894.0,1084.0,856.0,877.0
61,941.0,674.0,988.0,747.0,757.0,957.0,756.0,741.0
62,809.0,581.0,876.0,712.0,677.0,870.0,666.0,671.0
63,758.0,554.0,743.0,629.0,553.0,783.0,574.0,576.0
64,666.0,436.0,644.0,488.0,469.0,698.0,503.0,470.0
65,571.0,412.0,570.0,461.0,406.0,628.0,487.0,424.0
66,503.0,325.0,492.0,404.0,370.0,546.0,437.0,374.0
67,449.0,289.0,461.0,365.0,313.0,538.0,403.0,353.0
68,405.0,254.0,426.0,329.0,274.0,435.0,339.0,290.0
69,358.0,214.0,347.0,259.0,226.0,405.0,291.0,236.0
70,293.0,158.0,272.0,241.0,193.0,338.0,288.0,213.0
71,286.0,156.0,285.0,181.0,162.0,290.0,247.0,162.0
72,209.0,118.0,254.0,179.0,131.0,246.0,205.0,153.0
73,200.0,86.0,215.0,138.0,94.0,200.0,182.0,137.0
74,167.0,96.0,175.0,118.0,87.0,189.0,186.0,89.0
75,159.0,86.0,177.0,118.0,71.0,172.0,163.0,87.0
76,122.0,48.0,129.0,86.0,51.0,127.0,107.0,56.0
77,100.0,53.0,120.0,74.0,41.0,113.0,94.0,45.0
78,103.0,37.0,118.0,91.0,42.0,94.0,100.0,48.0
79,75.0,38.0,85.0,60.0,25.0,70.0,79.0,25.0
80,58.0,18.0,76.0,42.0,31.0,61.0,66.0,18.0
81,47.0,15.0,57.0,38.0,25.0,47.0,48.0,14.0
